# DontCallMe — aggressive (auto-genereret 2026-09-02T03:00:15.901Z)
number,label
+302103550306,Spam
+32468737514,Robocall
+32475290344,Robocall
+33611228170,Robocall
+33683875927,Robocall
+37064696899,Other
+37125139825,Spam
+380507839529,Scam
+380665319709,Telemarketing
+380674219873,Other
+38975336418,Spam
+447505762055,Scam
+447529520828,Scam
+447562642516,Other
+447576066503,Spam
+447597677404,Spam
+447746547729,Spam
+4520749571,Telemarketing
+4524472771,Spam
+4532221835,Spam
+4532221839,Spam
+4532221894,Spam
+4536101372,Spam
+4552518218,Spam
+4552518241,Telemarketing
+4552661570,Spam
+4554128417,Spam
+4570405216,Telemarketing
+4570405236,Telemarketing
+4570604060,Telemarketing
+4571744277,Telemarketing
+4582138343,Spam
+4591999273,Telemarketing
+46737942292,Robocall
+4915144244969,Robocall
+4916047321397,Robocall
+8809606934693,Scam
+923028505886,Spam
+923141486963,Spam
+989035419565,Telemarketing
